timestamp,T,Po,P,Pa,U,DD,Ff
01.01.2020 21:00,"0,7","722,1","763,6","1,8",94,"Ветер, дующий с запада",5
01.01.2020 18:00,"0,9","720,3","761,8","1,7",90,"Ветер, дующий с запада",5
01.01.2020 15:00,"2,3","718,6","759,7","1,1",86,"Ветер, дующий с западо-северо-запада",7
01.01.2020 12:00,"6,9","717,5","757,9","-0,2",60,"Ветер, дующий с запада",9
01.01.2020 09:00,"3,4","717,7","758,6","0,3",77,"Ветер, дующий с западо-юго-запада",9
01.01.2020 06:00,"2,3","717,4","758,5","-0,7",82,"Ветер, дующий с запада",9
01.01.2020 03:00,"1,6","718,1","759,3","-1,2",91,"Ветер, дующий с запада",9
01.01.2020 00:00,"1,1","719,3","760,6","-0,7",82,"Ветер, дующий с западо-юго-запада",6
31.12.2019 21:00,"1,9","720,0","761,2","-0,9",89,"Ветер, дующий с запада",10
31.12.2019 18:00,"0,8","720,9","762,4","-0,6",92,"Ветер, дующий с запада",8
31.12.2019 15:00,"2,7","721,5","762,7","-1,5",78,"Ветер, дующий с запада",5
31.12.2019 12:00,"2,6","723,0","764,2","-1,3",83,"Ветер, дующий с запада",2
31.12.2019 09:00,"-0,4","724,3","766,1","-0,1",95,"Ветер, дующий с юго-запада",3
31.12.2019 06:00,"-1,0","724,4","766,4","-1,2",97,"Ветер, дующий с юга",2
31.12.2019 03:00,"-1,4","725,6","767,7","-0,9",98,"Ветер, дующий с востоко-юго-востока",2
31.12.2019 00:00,"-1,3","726,5","768,7","-1,3",96,"Ветер, дующий с востоко-юго-востока",3
30.12.2019 21:00,"-1,0","727,8","769,9","-0,8",92,"Ветер, дующий с юго-востока",3
30.12.2019 18:00,"-1,2","728,6","770,8","0,2",86,"Ветер, дующий с востоко-юго-востока",3
30.12.2019 15:00,"-0,4","728,4","770,5","0,0",77,"Ветер, дующий с востока",5
30.12.2019 12:00,"-0,5","728,4","770,5","-0,5",89,"Ветер, дующий с востоко-юго-востока",6
30.12.2019 09:00,"-1,6","728,9","771,2","0,8",89,"Ветер, дующий с востока",6
30.12.2019 06:00,"-1,1","728,1","770,3","0,4",85,"Ветер, дующий с востока",6
30.12.2019 03:00,"0,3","727,7","769,6","0,4",90,"Ветер, дующий с востоко-юго-востока",5
30.12.2019 00:00,"0,2","727,3","769,2","0,0",92,"Ветер, дующий с востоко-юго-востока",8
29.12.2019 21:00,"0,6","727,3","769,3","0,6",89,"Ветер, дующий с востоко-юго-востока",7
29.12.2019 18:00,"0,8","726,7","768,5","0,3",91,"Ветер, дующий с востоко-юго-востока",6
29.12.2019 15:00,"2,2","726,4","768,0","0,3",87,"Ветер, дующий с востоко-юго-востока",7
29.12.2019 12:00,"1,7","726,1","767,8","0,2",97,"Ветер, дующий с востока",6
29.12.2019 09:00,"-0,2","725,9","767,8","1,1",97,"Ветер, дующий с востока",4
29.12.2019 06:00,"-0,3","724,8","766,6","0,1",96,"Ветер, дующий с юго-востока",3
29.12.2019 03:00,"0,8","724,7","766,4","0,6",97,"Ветер, дующий с востоко-юго-востока",1
29.12.2019 00:00,"-0,3","724,1","766,0","0,3",96,"Ветер, дующий с востока",3
28.12.2019 21:00,"1,2","723,8","765,4","0,7",92,"Ветер, дующий с юго-юго-востока",1
28.12.2019 18:00,"0,9","723,1","764,7","0,7",90,"Ветер, дующий с юга",2
28.12.2019 15:00,"6,0","722,4","763,1","0,6",68,"Ветер, дующий с западо-северо-запада",5
28.12.2019 12:00,"4,9","721,8","762,7","0,4",78,"Ветер, дующий с запада",4
28.12.2019 09:00,"2,2","721,4","762,7","1,2",95,"Ветер, дующий с запада",4
28.12.2019 06:00,"1,5","720,2","761,5","1,3",95,"Ветер, дующий с западо-северо-запада",5
28.12.2019 03:00,"3,7","718,9","758,6","1,1",97,"Ветер, дующий с запада",4
28.12.2019 00:00,"3,7","717,8","758,6","0,4",97,"Ветер, дующий с запада",5
27.12.2019 21:00,"3,2","717,4","758,2","0,6",90,"Ветер, дующий с запада",3
27.12.2019 18:00,"3,5","716,8","757,6","1,3",89,"Ветер, дующий с запада",5
27.12.2019 15:00,"6,5","715,5","755,8","0,5",70,"Ветер, дующий с западо-северо-запада",4
27.12.2019 12:00,"8,4","715,0","754,9","-0,2",56,"Ветер, дующий с северо-востока",1
27.12.2019 09:00,"5,5","715,2","755,6","0,7",66,"Штиль, безветрие",0
27.12.2019 06:00,"6,4","714,5","754,8","-0,4",61,"Ветер, дующий с юга",1
27.12.2019 03:00,"4,9","714,9","755,4","-0,2",66,"Ветер, дующий с юга",2
27.12.2019 00:00,"4,4","715,1","755,7","-0,5",68,"Ветер, дующий с юго-востока",3
26.12.2019 21:00,"3,7","715,6","756,3","0,1",79,"Ветер, дующий с юга",3
26.12.2019 18:00,"4,4","715,5","756,1","0,4",76,"Ветер, дующий с юго-востока",2
26.12.2019 15:00,"7,8","715,1","755,2","0,1",68,"Ветер, дующий с востока",2
26.12.2019 12:00,"8,1","715,0","755,0","-0,1",53,"Ветер, дующий с юго-востока",2
26.12.2019 09:00,"2,7","715,1","755,9","0,6",84,"Ветер, дующий с юга",3
26.12.2019 06:00,"1,6","714,5","755,5","-0,2",78,"Ветер, дующий с юга",2
26.12.2019 03:00,"2,8","714,7","755,5","-0,3",79,"Ветер, дующий с юга",3
26.12.2019 00:00,"2,7","715,0","755,8","-0,6",81,"Ветер, дующий с юга",2
25.12.2019 21:00,"1,7","715,6","756,6","-0,3",92,"Ветер, дующий с юго-востока",3
25.12.2019 18:00,"2,6","715,9","756,8","0,6",91,"Ветер, дующий с востока",2
25.12.2019 15:00,"9,3","715,3","755,1","0,0",63,"Ветер, дующий с севера",2
25.12.2019 12:00,"5,6","715,3","755,6","-0,2",80,"Ветер, дующий с востоко-юго-востока",2
25.12.2019 09:00,"2,2","715,5","756,4","0,3",97,"Ветер, дующий с востоко-юго-востока",3
25.12.2019 06:00,"2,4","715,2","756,1","-0,1",97,"Ветер, дующий с востоко-юго-востока",4
25.12.2019 03:00,"3,2","715,3","756,0","0,0",95,"Ветер, дующий с востоко-юго-востока",5
25.12.2019 00:00,"3,8","715,3","756,1","-0,4",93,"Ветер, дующий с юго-востока",5
24.12.2019 21:00,"3,9","715,7","756,4","-0,4",95,"Ветер, дующий с юго-востока",6
24.12.2019 18:00,"4,1","716,1","756,8","0,2",93,"Ветер, дующий с востоко-юго-востока",4
24.12.2019 15:00,"7,7","715,9","756,0","-0,3",71,"Ветер, дующий с востоко-юго-востока",5
24.12.2019 12:00,"6,7","716,2","756,4","0,3",75,"Ветер, дующий с юго-востока",5
24.12.2019 09:00,"1,9","715,9","757,0","0,0",97,"Ветер, дующий с юго-востока",5
24.12.2019 06:00,"1,5","715,9","757,0","0,1",96,"Ветер, дующий с юго-востока",5
24.12.2019 03:00,"2,0","715,8","756,7","-0,2",95,"Ветер, дующий с юго-востока",5
24.12.2019 00:00,"2,8","716,0","756,9","-0,7",94,"Ветер, дующий с юго-юго-востока",5
23.12.2019 21:00,"3,2","716,7","757,5","-0,9",92,"Ветер, дующий с юго-юго-востока",6
23.12.2019 18:00,"4,0","717,6","758,3","-0,2",91,"Ветер, дующий с юго-юго-востока",7
23.12.2019 15:00,"5,4","717,8","758,4","-0,8",82,"Ветер, дующий с юго-юго-востока",6
23.12.2019 12:00,"6,1","718,6","759,1","-0,8",79,"Ветер, дующий с юго-востока",8
23.12.2019 09:00,"2,4","719,4","760,5","-0,2",97,"Ветер, дующий с востоко-юго-востока",5
23.12.2019 06:00,"0,9","719,6","761,0","-0,3",96,"Ветер, дующий с юго-востока",4
23.12.2019 03:00,"1,5","719,9","761,2","-0,7",93,"Ветер, дующий с юго-востока",6
23.12.2019 00:00,"2,4","720,6","761,8","-0,2",95,"Ветер, дующий с юго-юго-востока",6
22.12.2019 21:00,"2,7","720,8","762,0","0,0",94,"Ветер, дующий с юго-юго-востока",5
22.12.2019 18:00,"0,4","720,8","762,4","0,1",93,"Ветер, дующий с юго-востока",5
22.12.2019 15:00,"5,9","720,7","761,4","-0,8",59,"Ветер, дующий с юго-востока",4
22.12.2019 12:00,"5,1","721,5","762,4","-0,7",59,"Ветер, дующий с юго-востока",3
22.12.2019 09:00,"1,1","722,2","763,7","0,2",71,"Штиль, безветрие",0
22.12.2019 06:00,"-1,4","722,0","763,9","-0,4",76,"Ветер, дующий с юга",1
22.12.2019 03:00,"1,6","722,4","763,9","-0,4",66,"Ветер, дующий с юга",3
22.12.2019 00:00,"0,6","722,8","764,4","0,3",74,"Ветер, дующий с юго-востока",3
21.12.2019 21:00,"1,5","722,5","764,0","-0,3",69,"Ветер, дующий с юго-востока",3
21.12.2019 18:00,"4,1","722,8","763,9","-0,3",60,"Ветер, дующий с юго-юго-востока",6
21.12.2019 15:00,"7,1","723,1","763,7","-1,2",48,"Ветер, дующий с юго-востока",4
21.12.2019 12:00,"5,9","724,3","765,1","-1,0",47,"Ветер, дующий с юго-востока",4
21.12.2019 09:00,"1,3","725,3","767,0","-0,4",67,"Ветер, дующий с юго-юго-востока",3
21.12.2019 06:00,"-0,7","725,7","767,8","-1,0",58,"Ветер, дующий с юго-востока",4
21.12.2019 03:00,"0,4","726,7","768,6","-1,1",43,"Ветер, дующий с юго-юго-востока",4
21.12.2019 00:00,"2,3","727,8","769,5","-0,7",35,"Ветер, дующий с юго-востока",2
20.12.2019 21:00,"1,6","728,5","770,3","-0,3",45,"Ветер, дующий с юго-востока",1
20.12.2019 18:00,"-0,3","728,8","771,0","0,1",87,"Ветер, дующий с западо-юго-запада",2
20.12.2019 15:00,"7,2","728,7","769,6","-0,5",44,"Ветер, дующий с западо-северо-запада",5
20.12.2019 12:00,"7,0","729,2","770,2","-0,8",46,"Ветер, дующий с запада",5
20.12.2019 09:00,"0,5","730,0","772,0","0,5",90,"Ветер, дующий с северо-запада",3
20.12.2019 06:00,"0,6","729,5","771,5","0,7",92,"Ветер, дующий с западо-северо-запада",4
20.12.2019 03:00,"3,8","728,8","770,2","0,8",91,"Ветер, дующий с западо-северо-запада",7
20.12.2019 00:00,"7,0","728,0","768,8","0,1",96,"Ветер, дующий с запада",8
19.12.2019 21:00,"8,3","727,9","768,5","0,4",91,"Ветер, дующий с запада",10
19.12.2019 18:00,"9,2","727,5","768,0","0,7",71,"Ветер, дующий с запада",8
19.12.2019 15:00,"11,7","726,8","766,9","-0,4",49,"Ветер, дующий с запада",8
19.12.2019 12:00,"9,4","727,2","767,7","-0,4",54,"Ветер, дующий с западо-северо-запада",7
19.12.2019 09:00,"7,8","727,6","768,4","-0,1",60,"Ветер, дующий с запада",7
19.12.2019 06:00,"3,8","727,7","769,1","-0,3",69,"Ветер, дующий с западо-юго-запада",2
19.12.2019 03:00,"0,2","728,0","770,0","-0,5",89,"Ветер, дующий с западо-юго-запада",3
19.12.2019 00:00,"4,1","728,5","769,9","-0,1",76,"Ветер, дующий с запада",2
18.12.2019 21:00,"5,0","728,6","769,9","-0,2",60,"Ветер, дующий с юго-юго-запада",2
18.12.2019 18:00,"3,6","728,8","770,3","0,3",64,"Ветер, дующий с западо-юго-запада",3
18.12.2019 15:00,"11,3","728,5","768,9","-0,6",39,"Ветер, дующий с запада",5
